ESAME;DESCRIZIONE;PROVETTA
L0001   ;CALCOLO URINARIO: ES.CHIM.FISICO                                                ;SY-Rep. Urine
L0002   ;U-GLUCOSIO mattino                                                              ;URINE
L0003   ;U-PROTEINE                                                                      ;URINE
L0004   ;U-TEST DI GRAVIDANZA                                                            ;URINE
L0006   ;F-PARASSITI INTESTINALI(DOPO CONCENTR.)1                                        ;FECI CAMP 1
L0008   ;F-GIARDIA ANTIGENE RICERCA DIRETTA                                              ;FECI
L0009   ;PAP TEST CONVENZIONALE                                                          ;PAP TEST
L0010   ;F-RICERCA PARASSITI INTESTINALI (camp.1)                                        ;FECI CAMP 1
L0011   ;F-RICERCA PARASSITI INTESTINALI (camp.3)                                        ;FECI CAMP 3
L0013   ;U-CREATININA                                                                    ;URINE IT
L0014   ;dU-UREA                                                                         ;URINE 24 ore
L0015   ;dU-FOSFORO                                                                      ;UR/24h ACIDIF.
L0016   ;dU-ACIDO URICO                                                                  ;URINE 24 ore
L0017   ;dU-CALCIO                                                                       ;UR/24h ACIDIF.
L0018   ;U-CREATININA fine turno                                                         ;URINE FT
L0019   ;dU-FERRO                                                                        ;SY-Urine 24h Tox
L0020   ;U-17 CHETOSTEROIDI                                                              ;SY-Urine 24h Acid.
L0021   ;dU-AMILASI                                                                      ;UR/24h ACIDIF.
L0023   ;S-RAME                                                                          ;T.GIALLO 1
L0024   ;dU-RAME                                                                         ;SY-Urine 24h Tox
L0025   ;dU-ACIDO VANILMANDELICO                                                         ;SY-Urine 24h Acid.
L0026   ;dU-SODIO                                                                        ;URINE 24 ore
L0027   ;dU-POTASSIO                                                                     ;URINE 24 ore
L0028   ;dU-CLORO                                                                        ;URINE 24 ore
L0029   ;dU-MAGNESIO                                                                     ;UR/24h ACIDIF.
L0030   ;dU-IDROSSIPROLINA                                                               ;SY-Urine 24h
L0031   ;dU-CATECOLAMINE FRAZIONATE                                                      ;SY-Urine 24h Acid.
L0032   ;P-CATECOLAMINE FRAZIONATE                                                       ;SY-Viola ToxPat
L0034   ;ESAME CITOLOGICO X RICERCA ASBESTO                                              ;Epett.x Asbesto
L0035   ;U-GLUCOSIO pomeridiano                                                          ;URINE POMERIGGIO
L0036   ;Sg-VELOCITA'DI ERITROSEDIMENTAZIONE(VES)                                        ;T.VIOLA
L0037   ;Sg-EMOCROMO                                                                     ;T.VIOLA
